,TPPP3,FBLN1,TNNT1,COL17A1,IGFBP2,IDH2,HSPB1,LAMB3,ALDOB,NR4A1,MEST,FCGRT,LDHA
2115-T,10.071108,14.019915,2.205246,5.78467,19.216073,70.26848,147.903144,49.357556,1.615459,144.457153,14.781092,50.196712,126.245372
2159-T,11.927379,139.907907,0.501216,21.397795,88.578699,29.210071,184.261597,70.186676,9.14057,108.278249,35.0992,60.126889,143.041965
2248-T,11.712131,141.910189,0.197548,1.160817,34.851845,33.873663,227.759619,60.352704,16.045562,108.430683,12.230041,47.786727,112.566112
2329-T,4.89814,15.964719,0.160625,5.732563,86.341499,59.62398,330.131697,31.810301,2.760363,3.839217,19.666936,34.016443,145.337027
2372-T,2.979197,3.402041,7.983618,180.000781,93.59764,40.863296,231.552454,2.305241,268.65444,3.266835,28.047572,57.747525,123.443436
2487-T,2.107357,5.677564,0,0.050934,434.320878,19.249213,163.974317,0.800695,0.305699,0.375926,1.093511,18.360641,3.773402
2503-T,18.67427,39.093789,1.784739,0.512542,40.178026,30.95749,297.249271,22.807384,0.310374,184.651156,8.77529,51.604343,75.631213
2664-T,7.224647,40.10426,0.164325,0.132266,136.996802,29.15659,428.373504,20.551135,291.919515,39.20867,14.306128,89.182985,97.319241
2697T1,20.13696,8.705065,27.89345,0.045133,70.715555,50.807978,848.363171,76.5785,0.689812,22.545397,36.217555,46.621617,230.589496
2798T,3.495547,53.927404,2.09745,80.085761,50.592594,26.458091,430.716055,113.674742,4.284351,13.56647,32.119961,41.701828,135.483585
2818T,2.055419,2.599381,43.830826,45.937816,12.77991,17.259797,1058.988054,281.379546,9.151096,1.492212,8.453939,6.125029,113.768957
2826T,3.431226,32.59079,1.76991,17.46722,227.439486,36.394048,260.912232,143.319755,0.350756,4.24295,94.90679,70.997541,314.68131
ICC2004T1,24.958166,13.513597,75.144984,0.016654,322.214845,41.649674,1385.276031,95.560554,0.653925,38.453287,27.076741,64.729747,203.970225
ICC2169T,15.578658,3.60357,0.246787,0.081367,158.800116,49.955788,298.02025,154.880376,0.373191,9.128734,17.985908,42.748259,93.595797
ICC2256T,2.929946,1.599473,105.273208,1.140415,20.161551,85.510123,804.838448,163.738642,0.171751,1.246233,20.81494,83.309192,502.997014
ICC2296T,10.577407,13.814279,1.376586,0.210376,16.506796,28.934862,220.778623,83.5349,0.407649,7.805551,24.313096,32.813742,98.507361
ICC2328T,29.54253,7.856179,0.320653,3.415335,221.651218,53.156684,111.686125,70.405493,0.62517,13.258391,17.17742,65.936141,161.631815
ICC2345T,1.30794,10.260137,9.988299,0.07809,726.579313,35.924485,381.77552,60.158978,383.044638,27.050541,14.262428,61.676611,152.392862
ICC2349T,18.705823,80.646907,3.371516,34.546984,77.408316,26.167588,369.37398,41.801168,2.774893,7.789975,25.894969,80.877802,154.384283
ICC2413T1,10.920027,4.417631,23.114966,112.81645,43.39654,31.14379,263.592288,321.989908,64.989888,4.314923,18.401976,27.472013,293.592709
ICC2434T1,10.169532,14.769618,19.863427,0.575304,58.103698,25.662427,429.908037,105.389073,2.320049,15.333203,13.40006,69.306328,148.761226
ICC2434T2,15.39737,15.055041,13.296009,0.52478,39.315436,15.58093,479.22823,86.747171,1.03962,130.245134,30.139679,33.451144,190.719705
ICC2434T3,5.897761,3.791092,8.925854,0.83294,21.563241,15.910874,641.460998,62.223395,0.718138,15.065461,26.121272,30.192029,238.726967
ICC2438T,9.484348,15.578018,35.75406,0.840987,41.866782,34.193183,834.617205,27.189103,0.51957,10.398565,23.62883,35.797675,252.978407
ICC2515T,20.45913,23.910689,3.333367,7.216292,4.028701,46.111749,360.651634,88.307696,0.088957,21.538269,35.663741,34.938378,236.350538
ICC2519T,6.112777,54.998939,20.792347,0.692348,187.741455,26.649677,396.400574,28.372438,0.118197,3.869048,39.994121,36.344892,317.192045
ICC2527T,10.508002,69.331339,0.39802,1.595468,32.392997,30.576065,208.405069,41.120673,21.675481,19.239253,11.267629,83.045975,122.996741
ICC2554T,8.247128,63.710119,0.01121,0.077031,22.980495,26.686745,232.183137,0.810963,0.109987,85.337646,9.063969,83.28391,65.62833
ICC2565T1,5.813635,0.706888,2.898453,0.02292,16.007194,59.208499,138.238213,3.809645,0.576749,1.041532,4.134262,17.316385,308.556022
ICC2565T2,17.994624,9.12539,12.783072,0.080663,27.764468,69.629412,478.877858,33.254289,131.637523,3.062008,5.781557,22.92797,159.737316
ICC2590T,24.154606,365.702935,0.048387,0.630994,54.649062,22.218345,385.500312,3.011455,0.379038,36.078002,30.139896,82.312745,317.227922
ICC2615T,6.875472,19.29272,26.062253,27.241749,13.076407,31.644413,256.545025,78.964588,30.804109,28.18912,59.524688,54.400388,343.900834
ICC2617T,6.619378,5.655246,12.88218,0.066896,41.576049,71.278458,283.404283,67.833262,0.647351,4.410063,16.330588,24.19711,246.179978
ICC2634T,9.664942,1.740878,0.18345,39.590976,334.952992,43.838504,222.360712,73.731199,360.411577,4.33199,17.598889,93.557903,132.320404
ICC2636T1,24.11933,4.5714,5.645742,10.014461,122.741551,82.097052,328.089712,52.494142,32.206804,6.3815,14.285141,57.855858,370.645464
ICC2641T,9.967735,48.098024,8.059055,5.764596,74.130368,62.448923,230.596318,287.17832,2.063522,2.840996,32.308494,51.612178,197.464432
ICC2682T,3.277308,4.315266,2.711593,37.878836,320.322396,47.902535,212.800538,38.976653,311.16922,3.149037,13.785441,66.992766,178.118878
LRT_RNA,0.479512,3.251503,1.21585,11.826668,51.556509,81.828894,73.201954,83.825811,652.649298,0.967198,6.89455,24.236499,349.841728
