,DUSP1,HMOX1,SMIM24,SELENOP,IL2RG,CA2,PGF,TSPAN7,RETSAT,C8G,SNX10,FSTL3,RPL39L,RHOV,CDC42EP5,IL6R,GPX3
2115-T,542.754148,24.695367,1.964493,6.823664,31.835698,19.619802,8.242836,0.782246,20.638738,1.480304,3.760484,52.351924,6.122332,83.034293,24.114742,2.982716,21.790444
2159-T,345.86706,38.819648,7.835379,42.084965,38.670082,43.787158,12.093249,9.142778,18.059883,0.360878,13.044426,46.702975,3.411013,1.828389,61.292191,8.393135,54.915034
2248-T,529.931969,24.05284,12.045934,30.577556,70.150367,19.590587,14.471227,8.259011,21.338447,2.330339,6.071661,40.569104,4.190044,2.06902,43.162538,4.763361,51.474461
2329-T,37.040184,19.934357,23.177283,9.788094,15.996568,17.683558,4.338707,1.912432,32.393474,6.364792,8.956802,24.513815,11.101108,2.292919,13.320211,4.333014,23.142323
2372-T,279.182179,65.462711,2.874291,62.032321,16.096757,19.341651,4.103889,1.778605,14.233681,54.056153,15.852307,76.918683,3.302183,0.809598,9.439642,4.785377,47.808303
2487-T,3.107458,0.593701,0.735929,1.038763,0.534513,0.442121,0.979708,0.42255,1.091945,0.1308,0.307078,6.424124,0.239821,5.285016,21.925221,0.05914,10.62833
2503-T,617.66447,15.794875,11.136016,37.600868,55.037696,34.69457,17.432249,29.422277,11.641756,5.276429,13.679785,28.015515,3.387257,19.070001,30.463025,8.67928,197.244869
2664-T,240.743011,70.413914,14.432224,89.351676,62.201097,20.85841,7.558596,12.604034,13.68247,56.374987,20.357835,23.660128,1.595037,4.796258,17.675575,6.17337,110.177521
2697T1,322.165032,15.562814,12.2717,14.985655,16.151706,23.682349,4.091356,2.483987,16.040966,23.555368,41.851395,83.121134,9.95687,16.301054,30.508839,1.891078,40.172033
2798T,203.248613,9.752363,1.584906,3.785976,11.097302,24.422175,7.444257,0.91195,19.028663,0.522305,3.762933,66.182071,2.154697,2.750401,49.05228,0.96905,11.041453
2818T,48.374915,2.068854,0.490227,1.602707,76.760135,0.760738,10.741446,0.172767,6.194661,1.123079,0.231491,8.173752,0,113.177425,332.405337,2.432637,1.850408
2826T,56.887505,19.258973,2.737776,12.827143,17.821029,4.689847,13.927375,1.211605,11.608298,0.617071,18.668377,65.80536,9.164312,13.702826,69.635328,1.98363,23.024814
ICC2004T1,119.740909,48.837397,13.769169,20.681532,11.475321,22.864709,8.282329,1.287207,36.41727,16.443161,18.551201,144.409644,4.727419,21.244072,14.725519,7.953198,29.750746
ICC2169T,198.969036,22.830495,0.442865,25.439209,8.941338,4.985515,5.483812,2.221313,26.097103,65.379001,11.550328,25.685292,7.064404,4.447361,9.180466,11.243133,105.908434
